booking_id,carrier_code,vehicle,vehicle_capacity,total_amount,total_package,total_weight (tons),total_cbm,total_load_proportion_rate,transport_utilization_rate,num_of_pickup_point,pickup_points,last_pickup_point,num_of_destination_point,store_code,total_loading_time (days),pickup_time (days),delivery_time (days),delivery_month
26-TI-AA-02082024-168554,B,51D-614.79,16,678433847,1460,15.2545785,39.112521,100,100,2,CB,B,1,D,0.1590277778,0.09930555555,1.736111111,Nov-2024
26-TI-AA-02082024-168555,B,51D-627.06,16,360655233,760,6.8563845,18.055548,60,100,1,A,A,1,D,0.03194444445,0.05069444444,0.8263888889,Nov-2024
02-TP-AA-02082024-168576,E,50H-206.50,5,254010712,620,5.364597,13.642629,100,100,1,C,C,1,E,0.03750000001,0.02430555555,1.760416667,Nov-2024
02-TP-AA-02082024-168575,E,51C-919.76,5,65797741,490,3.61305,5.950581,100,100,1,C,C,1,E,0.02569444444,0.03611111111,1.745138889,Nov-2024
02-TP-AA-02082024-168577,E,51C-302.42,5,96833492,330,7.345275,11.5521,100,100,1,C,C,1,E,0.02916666667,0.0375,1.741666667,Nov-2024
26-TI-AA-02092024-176181,B,51D-610.66,16,565053713,1020,12.004335,32.109252,88,100,1,B,B,1,D,0.1256944444,0.01319444444,1.784027778,Nov-2024
19-TP-AA-02092024-176124,D,51D-540.58,2,105440816,190,2.1819,5.343723,100,100,1,B,B,1,E,0.01597222222,0.01388888889,0.9034722222,Jul-2024
02-TP-AA-02092024-176161,E,51D-336.62,2,130121804,210,4.27938,8.24124,100,100,1,C,C,1,E,0.02361111111,0.006944444445,0.7368055556,Jul-2024
60-TP-AA-02102024-182945,C,50LD-194.99,5,317352383,580,4.7976705,12.401886,100,100,3,ACB,B,1,F,0.02986111112,0.0986111111,0.7819444444,Jul-2024
19-TP-AA-02102024-182952,D,61E-005.02,5,899929200,470,9.7238925,26.5980855,100,100,1,B,B,1,E,0.04305555556,0.007638888892,1.144444444,Jul-2024
19-TP-AA-02102024-182954,D,61P-0114,5,265178593,450,5.445993,15.0577245,100,100,1,B,B,1,E,0.1347222222,0.004166666666,0.8645833333,Jul-2024
19-TP-AA-02102024-182953,D,51C-691.01,5,249748926,480,5.2006395,14.24703,100,100,1,B,B,1,E,0.6944444444,0.03611111111,0.2819444444,Jul-2024
60-TP-AA-02112024-189861,C,50LD-195.34,5,188197671,540,3.274215,10.9071585,100,100,2,AC,C,1,F,0.01319444444,0.02291666667,0.06875,Jul-2024
02-TP-AA-02112024-189862,E,51C-538.27,5,231232588,570,4.967361,15.2824035,100,100,2,AC,C,1,E,0.01875,0.09097222222,0.76875,Jul-2024
26-TI-AA-03062024-153610,B,51D-627.57,16,334120675,550,4.4905665,18.308703,50,100,1,A,A,1,D,0.02638888889,0.1125,1.825694444,Jul-2024
19-TP-AA-03062024-153512,D,51D-343.96,2.2,200968134,250,1.91415,8.0809575,100,100,1,B,B,1,E,0.01736111111,0.008333333331,0.7805555556,Jul-2024
19-TP-AA-03062024-153511,D,51D-313.73,2.2,91032073,190,3.026625,7.252308,100,100,1,B,B,1,E,0.01805555556,0.006944444445,0.7590277778,Aug-2024
60-TP-AA-03072024-161551,C,50LD-194.99,9,194156915,490,5.9142615,18.124155,100,83,2,AB,B,1,F,0.01458333334,0.08194444444,0.2027777778,Aug-2024
19-TP-AA-03072024-161567,D,51C-691.01,5,184661774,390,4.73928,16.6761735,100,100,1,B,B,1,E,0.04513888889,0.01666666666,1.969444444,Aug-2024
02-TP-AA-03072024-161495,E,51D-157.63,2.3,107317415,330,2.51727,5.99886,100,100,1,C,C,1,E,0.01805555556,0.02083333334,1.771527778,Aug-2024
02-TP-AA-03082024-168706,E,51C-302.42,5,191931565,420,5.426085,10.3059285,100,100,1,C,C,1,E,0.04166666666,0.006249999999,0.7715277778,Aug-2024
02-TP-AA-03082024-168707,E,50H-206.50,5,133574613,250,4.643478,8.5031415,100,100,2,AC,C,1,E,0.02916666667,0.04236111111,0.7604166667,Aug-2024
TTPP-AA-03092024-176306,A,51C-600.58,1.45,24023005,130,0.392595,2.0784225,15,100,1,C,C,1,F,0.009722222218,0.01388888889,0.07222222222,Aug-2024
